No,Company,Employees,OutputVat,InputVat,Netvat,Sector,Industry,Year,,,,,,,,
472,Host Hotels & Resorts,2,548800,472600,76200,Financials,Real Estate,2017,,,,,,,,
473,Insight Enterprises,59,548600,540130,8470,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
474,Mattel,320,545700,513900,31800,Household Products,"Toys, Sporting Goods",2017,,,,,,,,
475,AmTrust Financial Services,80,545100,504000,41100,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
476,Cincinnati Financial,48,544900,485830,59070,Financials,Insurance: Property and Casualty (Stock),2017,,,,,,,,
477,Simon Property Group,41,543500,359610,183890,Financials,Real Estate,2017,,,,,,,,
478,Western Union,107,542300,516980,25320,Business Services,Financial Data Services,2017,,,,,,,,
479,KeyCorp,157,542200,463100,79100,Financials,Commercial Banks,2017,,,,,,,,
480,Delek US Holdings,13,541400,556770,-15370,Energy,Petroleum Refining,2017,,,,,,,,
481,Booz Allen Hamilton Holding,226,540600,511190,29410,Technology,Information Technology Services,2017,,,,,,,,
482,Chemours,70,540000,539300,700,Chemicals,Chemicals,2017,,,,,,,,
483,Western & Southern Financial Group,22,539800,515680,24120,Financials,"Insurance: Life, Health (Mutual)",2017,,,,,,,,
484,Celanese,73,538900,448900,90000,Chemicals,Chemicals,2017,,,,,,,,
485,Windstream Holdings,119,538700,577050,-38350,Telecommunications,Telecommunications,2017,,,,,,,,
486,Seaboard,118,537900,506700,31200,"Food, Beverages & Tobacco",Food Production,2017,,,,,,,,
487,Essendant,66,536900,530510,6390,Wholesalers,Wholesalers: Electronics and Office Equipment,2017,,,,,,,,
488,Apache,37,535400,675900,-140500,Energy,"Mining, Crude-Oil Production",2017,,,,,,,,
489,Airgas,170,531400,497650,33750,Wholesalers,Wholesalers: Diversified,2017,,,,,,,,
490,Kelly Services,75,527700,515620,12080,Business Services,Temporary Help,2017,,,,,,,,
491,Liberty Media,36,527600,459600,68000,Media,Entertainment,2017,,,,,,,,
492,Rockwell Collins,190,525900,453100,72800,Aerospace & Defense,Aerospace and Defense,2017,,,,,,,,
493,Robert Half International,164,525000,490660,34340,Business Services,Temporary Help,2017,,,,,,,,
494,CH2M Hill,200,523600,522100,1500,Engineering & Construction,"Engineering, Construction",2017,,,,,,,,
495,Big Lots,232,520000,504720,15280,Retailing,Specialty Retailers: Other,2017,,,,,,,,
496,Michaels Cos.,310,519700,481880,37820,Retailing,Specialty Retailers: Other,2017,,,,,,,,
497,Toll Brothers,42,517000,478790,38210,Engineering & Construction,Homebuilders,2017,,,,,,,,
498,Yahoo,85,516900,538330,-21430,Technology,Internet Services and Retailing,2017,,,,,,,,
499,Vistra Energy,44,516400,537830,-21430,Energy,Energy,2017,,,,,,,,
500,ABM Industries,1100,514500,508780,5720,Business Services,Diversified Outsourcing Services,2017,,,,,,,,
501,Walmart,23000,50034300,49048100,986200,Retailing,General Merchandisers,2018,,,,,,,,
502,Exxon Mobil,712,24436300,22465300,1971000,Energy,Petroleum Refining,2018,,,,,,,,
503,Berkshire Hathaway,3770,24213700,19719700,4494000,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
504,Apple,1230,22923400,18088300,4835100,Technology,"Computers, Office Equipment",2018,,,,,,,,
505,UnitedHealth Group,2600,20115900,19060100,1055800,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
506,McKesson,645,19853300,19346300,507000,Wholesalers,Wholesalers: Health Care,2018,,,,,,,,
507,CVS Health,2030,18476500,17814300,662200,Health Care,Health Care: Pharmacy and Other Services,2018,,,,,,,,
508,Amazon.com,5660,17786600,17483300,303300,Retailing,Internet Services and Retailing,2018,,,,,,,,
509,AT&T,2540,16054600,13109600,2945000,Telecommunications,Telecommunications,2018,,,,,,,,
510,General Motors,1800,15731100,16117500,-386400,Motor Vehicles &  Parts,Motor Vehicles and Parts,2018,,,,,,,,
511,Ford Motor,2020,15677600,14917400,760200,Motor Vehicles &  Parts,Motor Vehicles and Parts,2018,,,,,,,,
512,AmerisourceBergen,195,15314400,15277950,36450,Wholesalers,Wholesalers: Health Care,2018,,,,,,,,
513,Chevron,519,13453300,12533800,919500,Energy,Petroleum Refining,2018,,,,,,,,
514,Cardinal Health,404,12997600,12868800,128800,Wholesalers,Wholesalers: Health Care,2018,,,,,,,,
515,Costco,1820,12902500,12634600,267900,Retailing,General Merchandisers,2018,,,,,,,,
516,Verizon,1554,12603400,9593300,3010100,Telecommunications,Telecommunications,2018,,,,,,,,
517,Kroger,4490,12266200,12075500,190700,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
518,General Electric,3130,12227400,12806000,-578600,Industrials,Industrial Machinery,2018,,,,,,,,
519,Walgreens Boots Alliance,2900,11821400,11413600,407800,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
520,JPMorgan Chase,2525,11389900,8945800,2444100,Financials,Commercial Banks,2018,,,,,,,,
521,Fannie Mae,72,11239400,10993100,246300,Financials,Diversified Financials,2018,,,,,,,,
522,Alphabet,801,11085500,9819300,1266200,Technology,Internet Services and Retailing,2018,,,,,,,,
523,Home Depot,4130,10090400,9227400,863000,Retailing,Specialty Retailers: Other,2018,,,,,,,,
524,Bank of America Corp.,2094,10026400,8203200,1823200,Financials,Commercial Banks,2018,,,,,,,,
525,Express Scripts Holding,266,10006500,9554760,451740,Health Care,Health Care: Pharmacy and Other Services,2018,,,,,,,,
526,Wells Fargo,2627,9774100,7555800,2218300,Financials,Commercial Banks,2018,,,,,,,,
527,Boeing,1408,9339200,8519500,819700,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
528,Phillips 66,146,9156800,8646200,510600,Energy,Petroleum Refining,2018,,,,,,,,
529,Anthem,560,9004000,8619720,384280,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
530,Microsoft,1240,8995000,6874600,2120400,Technology,Computer Software,2018,,,,,,,,
531,Valero Energy,100,8840700,8434200,406500,Energy,Petroleum Refining,2018,,,,,,,,
532,Citigroup,2090,8796600,9476400,-679800,Financials,Commercial Banks,2018,,,,,,,,
533,Comcast,1640,8452600,6181200,2271400,Telecommunications,Telecommunications,2018,,,,,,,,
534,IBM,3978,7913900,7338600,575300,Technology,Information Technology Services,2018,,,,,,,,
535,Dell Technologies,1450,7866000,8238800,-372800,Technology,"Computers, Office Equipment",2018,,,,,,,,
536,State Farm Insurance Cos.,657,7833100,7612450,220650,Financials,Insurance: Property and Casualty (Mutual),2018,,,,,,,,
537,Johnson & Johnson,1340,7645000,7515000,130000,Health Care,Pharmaceuticals,2018,,,,,,,,
538,Freddie Mac,62,7467600,6905100,562500,Financials,Diversified Financials,2018,,,,,,,,
539,Target,3450,7187900,6894500,293400,Retailing,General Merchandisers,2018,,,,,,,,
540,Lowes,2550,6861900,6517200,344700,Retailing,Specialty Retailers: Other,2018,,,,,,,,
541,Marathon Petroleum,438,6761000,6417800,343200,Energy,Petroleum Refining,2018,,,,,,,,
542,Procter & Gamble,950,6621700,5089100,1532600,Household Products,Household and Personal Products,2018,,,,,,,,
543,MetLife,490,6615300,6214300,401000,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
544,UPS,3464,6587200,6096200,491000,Transportation,"Mail, Package, and Freight Delivery",2018,,,,,,,,
545,PepsiCo,2630,6352500,5866800,485700,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
546,Intel,1027,6276100,5316000,960100,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
547,DowDuPont,980,6268300,6122300,146000,Chemicals,Chemicals,2018,,,,,,,,
548,Archer Daniels Midland,313,6082800,5923300,159500,"Food, Beverages &  Tobacco",Food Production,2018,,,,,,,,
549,Aetna,480,6053500,5863100,190400,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
550,FedEx,3570,6031900,5732200,299700,Transportation,"Mail, Package, and Freight Delivery",2018,,,,,,,,
551,United Technologies,2047,5983700,5528500,455200,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
552,Prudential Financial,497,5968900,5182600,786300,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
553,Albertsons Cos.,2730,5967800,6005130,-37330,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
554,Sysco,665,5537100,5422850,114250,Wholesalers,Wholesalers: Food and Grocery,2018,,,,,,,,
555,Disney,1990,5513700,4615700,898000,Media,Entertainment,2018,,,,,,,,
556,Humana,459,5376700,5131900,244800,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
557,Pfizer,902,5254600,3123800,2130800,Health Care,Pharmaceuticals,2018,,,,,,,,
558,HP,490,5205600,4953000,252600,Technology,"Computers, Office Equipment",2018,,,,,,,,
559,Lockheed Martin,1000,5104800,4904600,200200,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
560,AIG,498,4952000,5560400,-608400,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
561,Centene,337,4857200,4774400,82800,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
562,Cisco Systems,729,4800500,3839600,960900,Technology,Network and Other Communications Equipment,2018,,,,,,,,
563,HCA Healthcare,2215,4765300,4543700,221600,Health Care,Health Care: Medical Facilities,2018,,,,,,,,
564,Energy Transfer Equity,295,4748700,4653300,95400,Energy,Pipelines,2018,,,,,,,,
565,Caterpillar,984,4546200,4470800,75400,Industrials,Construction and Farm Machinery,2018,,,,,,,,
566,Nationwide,331,4394000,4369350,24650,Financials,Insurance: Property and Casualty (Mutual),2018,,,,,,,,
567,Morgan Stanley,576,4364200,3753100,611100,Financials,Commercial Banks,2018,,,,,,,,
568,Liberty Mutual Insurance Group,500,4268700,4267000,1700,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
569,New York Life Insurance,111,4229600,4042910,186690,Financials,"Insurance: Life, Health (Mutual)",2018,,,,,,,,
570,Goldman Sachs Group,366,4225400,3796800,428600,Financials,Commercial Banks,2018,,,,,,,,
571,American Airlines Group,1266,4220700,4028800,191900,Transportation,Airlines,2018,,,,,,,,
572,Best Buy,1250,4215100,4115100,100000,Retailing,Specialty Retailers: Other,2018,,,,,,,,
573,Cigna,460,4161600,3937900,223700,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
574,Charter Communications,948,4158100,3168600,989500,Telecommunications,Telecommunications,2018,,,,,,,,
575,Delta Air Lines,866,4124400,3766700,357700,Transportation,Airlines,2018,,,,,,,,
576,Facebook,251,4065300,2471900,1593400,Technology,Internet Services and Retailing,2018,,,,,,,,
577,Honeywell International,1310,4053400,3887900,165500,Industrials,"Electronics, Electrical Equip.",2018,,,,,,,,
578,Merck,690,4012200,3772800,239400,Health Care,Pharmaceuticals,2018,,,,,,,,
579,Allstate,427,3852400,3533500,318900,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
580,Tyson Foods,1220,3826000,3648600,177400,"Food, Beverages &  Tobacco",Food Production,2018,,,,,,,,
581,United Continental Holdings,898,3773600,3560500,213100,Transportation,Airlines,2018,,,,,,,,
582,Oracle,1380,3772800,2839300,933500,Technology,Computer Software,2018,,,,,,,,
583,Tech Data,140,3677500,3665840,11660,Wholesalers,Wholesalers: Electronics and Office Equipment,2018,,,,,,,,
584,TIAA,168,3602500,3497530,104970,Financials,"Insurance: Life, Health (Mutual)",2018,,,,,,,,
585,TJX,2490,3586500,3325710,260790,Retailing,Specialty Retailers: Apparel,2018,,,,,,,,
586,American Express,550,3558300,3284700,273600,Financials,Diversified Financials,2018,,,,,,,,
587,Coca-Cola,618,3541000,3416200,124800,"Food, Beverages &  Tobacco",Beverages,2018,,,,,,,,
588,Publix Super Markets,1930,3483700,3254510,229190,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
589,Nike,744,3435000,3011000,424000,Apparel,Apparel,2018,,,,,,,,
590,Andeavor,143,3420400,3267600,152800,Energy,Petroleum Refining,2018,,,,,,,,
591,World Fuel Services,50,3369600,3386620,-17020,Energy,Energy,2018,,,,,,,,
592,Exelon,346,3353100,2976100,377000,Energy,Utilities: Gas and Electric,2018,,,,,,,,
593,Massachusetts Mutual Life Insurance,118,3349500,3298200,51300,Financials,"Insurance: Life, Health (Mutual)",2018,,,,,,,,
594,Rite Aid,704,3284500,3284090,410,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
595,ConocoPhillips,114,3258400,3343900,-85500,Energy,"Mining, Crude-Oil Production",2018,,,,,,,,
596,CHS,116,3193500,3180710,12790,"Food, Beverages &  Tobacco",Food Production,2018,,,,,,,,
597,3M,915,3165700,2679900,485800,Industrials,Miscellaneous,2018,,,,,,,,
598,Time Warner,260,3127100,2602400,524700,Media,Entertainment,2018,,,,,,,,
599,General Dynamics,986,3097300,2806100,291200,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
600,USAA,327,3001600,2759410,242190,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
601,Capital One Financial,493,2999900,2801700,198200,Financials,Commercial Banks,2018,,,,,,,,
602,Deere,605,2973800,2757890,215910,Industrials,Construction and Farm Machinery,2018,,,,,,,,
603,INTL FCStone,16,2942400,2941760,640,Financials,Diversified Financials,2018,,,,,,,,
604,Northwestern Mutual,54,2933100,2831400,101700,Financials,"Insurance: Life, Health (Mutual)",2018,,,,,,,,
605,Enterprise Products Partners,70,2924200,2644270,279930,Energy,Pipelines,2018,,,,,,,,
606,Travelers Cos.,308,2890200,2684600,205600,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
607,Hewlett Packard Enterprise,660,2887100,2852700,34400,Technology,"Computers, Office Equipment",2018,,,,,,,,
608,Philip Morris International,806,2874800,2271300,603500,"Food, Beverages &  Tobacco",Tobacco,2018,,,,,,,,
609,Twenty-First Century Fox,217,2850000,2554800,295200,Media,Entertainment,2018,,,,,,,,
610,AbbVie,290,2821600,2290700,530900,Health Care,Pharmaceuticals,2018,,,,,,,,
611,Abbott Laboratories,990,2739000,2691300,47700,Health Care,Medical Products and Equipment,2018,,,,,,,,
612,Progressive,337,2683900,2524680,159220,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
613,Arrow Electronics,188,2681300,2641100,40200,Wholesalers,Wholesalers: Electronics and Office Equipment,2018,,,,,,,,
614,Kraft Heinz,390,2623200,1523300,1099900,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
615,Plains GP Holdings,49,2622300,2695400,-73100,Energy,Pipelines,2018,,,,,,,,
616,Gilead Sciences,100,2610700,2147900,462800,Health Care,Pharmaceuticals,2018,,,,,,,,
617,Mondelez International,830,2589600,2297400,292200,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
618,Northrop Grumman,700,2580300,2378800,201500,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
619,Raytheon,640,2534800,2332400,202400,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
620,Macys,1300,2483700,2329000,154700,Retailing,General Merchandisers,2018,,,,,,,,
621,US Foods Holding,252,2414700,2370270,44430,Wholesalers,Wholesalers: Food and Grocery,2018,,,,,,,,
622,U.S. Bancorp,724,2399600,1777800,621800,Financials,Commercial Banks,2018,,,,,,,,
623,Dollar General,1290,2347100,2193200,153900,Retailing,Specialty Retailers: Other,2018,,,,,,,,
624,International Paper,560,2330200,2115800,214400,Materials,"Packaging, Containers",2018,,,,,,,,
625,Duke Energy,291,2318900,2013000,305900,Energy,Utilities: Gas and Electric,2018,,,,,,,,
626,Southern,313,2303100,2218900,84200,Energy,Utilities: Gas and Electric,2018,,,,,,,,
627,Marriott International,1770,2289400,2152200,137200,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",2018,,,,,,,,
628,Avnet,157,2287200,2234670,52530,Wholesalers,Wholesalers: Electronics and Office Equipment,2018,,,,,,,,
629,Eli Lilly,407,2287100,2307510,-20410,Health Care,Pharmaceuticals,2018,,,,,,,,
630,Amgen,208,2284900,2087000,197900,Health Care,Pharmaceuticals,2018,,,,,,,,
631,McDonalds,2350,2282000,1762770,519230,"Hotels, Restaurants &  Leisure",Food Services,2018,,,,,,,,
632,Starbucks,2770,2238700,1950230,288470,"Hotels, Restaurants &  Leisure",Food Services,2018,,,,,,,,
633,Qualcomm,338,2229100,1982500,246600,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
634,Dollar Tree,1162,2224600,2053170,171430,Retailing,Specialty Retailers: Other,2018,,,,,,,,
635,PBF Energy,32,2178700,2137150,41550,Energy,Petroleum Refining,2018,,,,,,,,
636,Icahn Enterprises,890,2174400,1931400,243000,Financials,Diversified Financials,2018,,,,,,,,
637,Aflac,113,2166700,1706300,460400,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
638,AutoNation,260,2153500,2110040,43460,Retailing,"Automotive Retailing, Services",2018,,,,,,,,
639,Penske Automotive Group,260,2138900,2077570,61330,Retailing,"Automotive Retailing, Services",2018,,,,,,,,
640,Whirlpool,920,2125300,2090300,35000,Industrials,"Electronics, Electrical Equip.",2018,,,,,,,,
641,Union Pacific,420,2124000,1052800,1071200,Transportation,Railroads,2018,,,,,,,,
642,Southwest Airlines,561,2117100,1768300,348800,Transportation,Airlines,2018,,,,,,,,
643,ManpowerGroup,290,2103400,2048860,54540,Business Services,Temporary Help,2018,,,,,,,,
644,Thermo Fisher Scientific,661,2091800,1869300,222500,Technology,"Scientific,Photographic and  Control Equipment",2018,,,,,,,,
645,Bristol-Myers Squibb,237,2077600,1976900,100700,Health Care,Pharmaceuticals,2018,,,,,,,,
646,Halliburton,550,2062000,2108300,-46300,Energy,"Oil and Gas Equipment, Services",2018,,,,,,,,
647,Tenet Healthcare,1120,2061300,2131700,-70400,Health Care,Health Care: Medical Facilities,2018,,,,,,,,
648,Lear,1650,2046700,1915360,131340,Motor Vehicles &  Parts,Motor Vehicles and Parts,2018,,,,,,,,
649,Cummins,586,2042800,1942900,99900,Industrials,Industrial Machinery,2018,,,,,,,,
650,Micron Technology,341,2032200,1523300,508900,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
651,Nucor,251,2025200,1893330,131870,Materials,Metals,2018,,,,,,,,
652,Molina Healthcare,200,1988300,2039500,-51200,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
653,Fluor,567,1952100,1932960,19140,Engineering &  Construction,"Engineering, Construction",2018,,,,,,,,
654,Altria Group,83,1949400,927200,1022200,"Food, Beverages &  Tobacco",Tobacco,2018,,,,,,,,
655,Paccar,250,1945600,1778080,167520,Industrials,Construction and Farm Machinery,2018,,,,,,,,
656,Hartford Financial Services,164,1922800,2235900,-313100,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
657,Kohls,850,1909500,1823600,85900,Retailing,General Merchandisers,2018,,,,,,,,
658,Western Digital,676,1909300,1869600,39700,Technology,"Computers, Office Equipment",2018,,,,,,,,
659,Jabil,1700,1906310,1893400,12910,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
660,Community Health Systems,860,1847700,2093600,-245900,Health Care,Health Care: Medical Facilities,2018,,,,,,,,
661,Visa,150,1835800,1165900,669900,Business Services,Financial Data Services,2018,,,,,,,,
662,Danaher,670,1833000,1583790,249210,Health Care,Medical Products and Equipment,2018,,,,,,,,
663,Kimberly-Clark,420,1825900,1598100,227800,Household Products,Household and Personal Products,2018,,,,,,,,
664,AECOM,870,1820300,1786360,33940,Engineering &  Construction,"Engineering, Construction",2018,,,,,,,,
665,PNC Financial Services,516,1803500,1269700,533800,Financials,Commercial Banks,2018,,,,,,,,
666,CenturyLink,510,1765600,1626700,138900,Telecommunications,Telecommunications,2018,,,,,,,,
667,NextEra Energy,140,1719500,1181700,537800,Energy,Utilities: Gas and Electric,2018,,,,,,,,
668,PG& E Corp.,230,1713500,1548900,164600,Energy,Utilities: Gas and Electric,2018,,,,,,,,
669,Synnex,1136,1704600,1674480,30120,Wholesalers,Wholesalers: Electronics and Office Equipment,2018,,,,,,,,
670,WellCare Health Plans,89,1700700,1663330,37370,Health Care,Health Care: Insurance and Managed Care,2018,,,,,,,,
671,Performance Food Group,140,1676200,1666570,9630,Wholesalers,Wholesalers: Food and Grocery,2018,,,,,,,,
672,Sears Holdings,890,1670200,1708500,-38300,Retailing,General Merchandisers,2018,,,,,,,,
673,Synchrony Financial,160,1669500,1476000,193500,Financials,Diversified Financials,2018,,,,,,,,
674,CarMax,243,1663700,1601000,62700,Retailing,"Automotive Retailing, Services",2018,,,,,,,,
675,Bank of New York Mellon,525,1662100,1253100,409000,Financials,Commercial Banks,2018,,,,,,,,
676,Freeport-McMoRan,252,1641600,1459900,181700,Energy,"Mining, Crude-Oil Production",2018,,,,,,,,
677,Genuine Parts,480,1630900,1569220,61680,Wholesalers,Wholesalers: Diversified,2018,,,,,,,,
678,Emerson Electric,765,1630100,1478300,151800,Industrials,Industrial Machinery,2018,,,,,,,,
679,DaVita,745,1603800,1537440,66360,Health Care,Health Care: Medical Facilities,2018,,,,,,,,
680,Supervalu,290,1600900,1535900,65000,Food &  Drug Stores,Food and Drug Stores,2018,,,,,,,,
681,Gap,1350,1585500,1500700,84800,Retailing,Specialty Retailers: Apparel,2018,,,,,,,,
682,General Mills,380,1562000,1396250,165750,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
683,Nordstrom,760,1547800,1504100,43700,Retailing,General Merchandisers,2018,,,,,,,,
684,Colgate-Palmolive,359,1545400,1343000,202400,Household Products,Household and Personal Products,2018,,,,,,,,
685,American Electric Power,177,1542500,1351240,191260,Energy,Utilities: Gas and Electric,2018,,,,,,,,
686,XPO Logistics,950,1538100,1504080,34020,Transportation,Transportation and Logistics,2018,,,,,,,,
687,Goodyear Tire & Rubber,640,1537700,1503100,34600,Motor Vehicles &  Parts,Motor Vehicles and Parts,2018,,,,,,,,
688,Omnicom Group,773,1527400,1418560,108840,Business Services,"Advertising, marketing",2018,,,,,,,,
689,CDW,87,1519200,1466900,52300,Technology,Information Technology Services,2018,,,,,,,,
690,Sherwin-Williams,527,1498400,1321170,177230,Chemicals,Chemicals,2018,,,,,,,,
691,PPG Industries,472,1496700,1337600,159100,Chemicals,Chemicals,2018,,,,,,,,
692,Texas Instruments,297,1496100,1127900,368200,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
693,C.H. Robinson Worldwide,151,1486900,1436410,50490,Transportation,Transportation and Logistics,2018,,,,,,,,
694,WestRock,448,1486000,1415180,70820,Materials,"Packaging, Containers",2018,,,,,,,,
695,Cognizant Technology Solutions,2600,1481000,1330600,150400,Technology,Information Technology Services,2018,,,,,,,,
696,Newell Brands,490,1474200,1199320,274880,Household Products,"Home Equipment, Furnishings",2018,,,,,,,,
697,CBS,147,1471000,1435300,35700,Media,Entertainment,2018,,,,,,,,
698,Envision Healthcare,578,1470100,1492900,-22800,Health Care,Health Care: Pharmacy and Other Services,2018,,,,,,,,
699,Monsanto,219,1464000,1238000,226000,Chemicals,Chemicals,2018,,,,,,,,
700,Aramark,2150,1460400,1423010,37390,Business Services,Diversified Outsourcing Services,2018,,,,,,,,
701,Applied Materials,184,1453700,1110300,343400,Technology,Semiconductors and Other Electronic Components,2018,,,,,,,,
702,Waste Management,423,1448500,1253600,194900,Business Services,Waste Management,2018,,,,,,,,
703,DISH Network,170,1439100,1229230,209870,Telecommunications,Telecommunications,2018,,,,,,,,
704,Illinois Tool Works,500,1431400,1262700,168700,Industrials,Industrial Machinery,2018,,,,,,,,
705,Lincoln National,90,1425700,1217800,207900,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
706,HollyFrontier,35,1425100,1344560,80540,Energy,Petroleum Refining,2018,,,,,,,,
707,CBRE Group,800,1421000,1351850,69150,Financials,Real estate,2018,,,,,,,,
708,Textron,370,1419800,1389100,30700,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
709,Ross Stores,827,1413500,1277220,136280,Retailing,Specialty Retailers: Apparel,2018,,,,,,,,
710,Principal Financial,154,1409300,1178260,231040,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
711,D.R. Horton,77,1409100,1305260,103840,Engineering &  Construction,Homebuilders,2018,,,,,,,,
712,Marsh & McLennan,640,1402400,1253200,149200,Financials,Diversified Financials,2018,,,,,,,,
713,Devon Energy,34,1394900,1305100,89800,Energy,"Mining, Crude-Oil Production",2018,,,,,,,,
714,AES,105,1385000,1501100,-116100,Energy,Utilities: Gas and Electric,2018,,,,,,,,
715,Ecolab,484,1383800,1232960,150840,Chemicals,Chemicals,2018,,,,,,,,
716,Land O'Lakes,100,1374000,1342580,31420,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
717,Loews,181,1373500,1257100,116400,Financials,Insurance: Property and Casualty (Stock),2018,,,,,,,,
718,Kinder Morgan,109,1370500,1352200,18300,Energy,Pipelines,2018,,,,,,,,
719,FirstEnergy,156,1362700,1535100,-172400,Energy,Utilities: Gas and Electric,2018,,,,,,,,
720,Occidental Petroleum,110,1327400,1196300,131100,Energy,"Mining, Crude-Oil Production",2018,,,,,,,,
721,Viacom,112,1326300,1138900,187400,Media,Entertainment,2018,,,,,,,,
722,PayPal Holdings,187,1309400,1129900,179500,Business Services,Financial Data Services,2018,,,,,,,,
723,NGL Energy Partners,27,1302200,1288500,13700,Energy,Energy,2018,,,,,,,,
724,Celgene,75,1300300,1006300,294000,Health Care,Pharmaceuticals,2018,,,,,,,,
725,Arconic,415,1296000,1303400,-7400,Aerospace &  Defense,Aerospace and Defense,2018,,,,,,,,
726,Kellogg,329,1292300,1165400,126900,"Food, Beverages &  Tobacco",Food Consumer Products,2018,,,,,,,,
727,Las Vegas Sands,505,1288200,1007600,280600,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",2018,,,,,,,,
728,Stanley Black & Decker,578,1274700,1152100,122600,Household Products,"Home Equipment, Furnishings",2018,,,,,,,,
729,Booking Holdings,229,1268100,1034020,234080,Technology,Internet Services and Retailing,2018,,,,,,,,
730,Lennar,91,1264600,1183550,81050,Engineering &  Construction,Homebuilders,2018,,,,,,,,
731,L Brands,592,1263200,1164900,98300,Retailing,Specialty Retailers: Apparel,2018,,,,,,,,
732,DTE Energy,102,1260700,1147300,113400,Energy,Utilities: Gas and Electric,2018,,,,,,,,
733,Dominion Energy,162,1258600,958700,299900,Energy,Utilities: Gas and Electric,2018,,,,,,,,
734,Reinsurance Group of America,26,1251600,1069380,182220,Financials,"Insurance: Life, Health (stock)",2018,,,,,,,,
735,J.C. Penney,980,1250600,1262200,-11600,Retailing,General Merchandisers,2018,,,,,,,,
736,Mastercard,134,1249700,858200,391500,Business Services,Financial Data Services,2018,,,,,,,,
737,BlackRock,139,1249100,752100,497000,Financials,Securities,2018,,,,,,,,
738,Henry Schein,220,1246200,1205570,40630,Wholesalers,Wholesalers: Health Care,2018,,,,,,,,
739,Guardian Life Ins. Co. of America,93,1245500,1199970,45530,Financials,"Insurance: Life, Health (Mutual)",2018,,,,,,,,
740,Stryker,330,1244400,1142400,102000,Health Care,Medical Products and Equipment,2018,,,,,,,,
741,Jefferies Financial Group,127,1240800,1223630,17170,Financials,Diversified Financials,2018,,,,,,,,
742,VF,690,1240000,1178510,61490,Apparel,Apparel,2018,,,,,,,,
743,ADP,580,1238000,1064660,173340,Business Services,Diversified Outsourcing Services,2018,,,,,,,,
744,Edison International,125,1232000,1175500,56500,Energy,Utilities: Gas and Electric,2018,,,,,,,,
745,Biogen,73,1227400,973490,253910,Health Care,Pharmaceuticals,2018,,,,,,,,
746,United States Steel,292,1225000,1186300,38700,Materials,Metals,2018,,,,,,,,
747,Core-Mark Holding,84,1222500,1219150,3350,Wholesalers,Wholesalers: Food and Grocery,2018,,,,,,,,
748,Bed Bath & Beyond,650,1221600,1153090,68510,Retailing,Specialty Retailers: Other,2018,,,,,,,,
